Source	Target	Notes
'grel bshad	explanation of [someone else's] commentary; commentarial	
'grel byed	commentator; elucidator	
'grel chen	"Extensive Commentary on the """"Superior Sūtra Unraveling the"	
'grel chen dri med 'od	[Kalki Puṇḍarīka's] Great Commentary on the Kālachakra Tantra:	
'grel pa	commentary; exposition; elucitation; explanation	
'grel par gsungs so	it is said in the commentary	
'grel rkang	basis for commentary/exposition/elucidation/explanation/discussion	
'grems	arrange; set out	
'gres rkang	basis for extending; basis for exposition/explanation	
'grib	diminishment; decrease; diminish	
'grib med	non-diminishment; not diminished	
'grib pa	diminishment; decrease; diminish	
'grib pa med	non-diminishment; non-decrease	
'grib pa med pa	non-diminishment; non-decrease	
'grib par bgyid pa	diminish; make diminish	
'grib par ma byas pa	not diminished; not decreased	
'grig pa	put together; fit in/together with; make correspond | since this does not agree with the statement...{MSI-121}	
'grim	wander; rove; walk about	
'grims pa	wander; rove; walk about	
'gris	Ling Dynasty [502 - 557 ce] of China	
'gro	to go; to pass (of time); to become | verb: go; become; serve; act noun: transmigrator; goer | serving as vitality and exertion	
'gro 'ong	going and coming	
'gro ba	a being; existence | transmigration [state of rebirth]; transmigrator; going; go away from	 [Bialek]: existence
'gro ba drug	six transmigrations	
'gro ba kun	all transmigrating beings; all the world	
'gro ba lngar 'khor ba	cycling/travelling in the five transmigrations	
'gro ba ma mchis pa	not go; not transmigrate; not go away	
'gro ba med do	not go; not transmigrate; not go away	
'gro ba po	goer; transmigrator	
'gro ba'i dge ba'i lo tog	harvest of the virtues of transmigrating beings; harvest of the world's	
'gro ba'i don	welfare/weal/aims of transmigrating beings	
'gro ba'i don du	for the sake of transmigrating beings	
'gro bar	going; going away from	
'gro bar 'du shes pas	thinking to go/go away	
'gro bar 'gyur	go; go away from	
'gro bar bgyid pa	going; going away from; make go away	
'gro bar bya ba'i phyir	in order to go/depart	
'gro bar byed pa	go; cause to go/depart	
'gro don	welfare/weal/aims of transmigrating beings	
'gro don rab tu 'dod pa	intensely wishing for the welfare/weal/aims of transmigrating beings	
'gro la snying brtser ldan pa'i phyir	because of being endowed with compassion for transmigrating beings	
'gro med	not go; not go away/depart	
'gro na	if go; when go	
'gro phan	helping transmigrating beings	
'gro tshul	way of going/departing	
'grogs	to come together, to be accompanied (by)	
'grogs pa ma yin	not accompany	
'grol	to untie	
'grol ba	release; liberate; free; loosen	
'gron bu	shell [cowries, that is, small shells used as dice]	
'grong	to die	
'grongs	die	
'gros	type; extension	
'gros gsum par skye ba	production in three types	
'grub	to accomplish, to complete | establish; achieve; exist; accomplish	
'grub byed	accomplisher; that which accomplishes; means of	
'grub pa	establish; achieve; exist; accomplish	
'grub pa dam pa	highest/excellent/holy achievement	
'grub par 'dod	want/wish/seek to accomplish/achieve/establish	
'grub par 'gyur ba	accomplish; achieve; establish	
'grub par bya ba	that which is to be accomplished/achieved/established	
'grub par byed	that which accomplishes; accomplish; cause to	
'grub pas thob pa	attained through achievement/practice	
'grus	zeal; enthusiasm; diligence	
'gul ba	vibrate; move	
'gum	to die	
'gums	to kill	
'gyed par	impel	
'gyel	to collapse, to fall	
'gying	high-and-mighty	
'gyod pa	contrition; regret; feeling sorry; remorse	
'gyod pa med pa	lack of contrition/regret/feeling sorry/remorse	
'gyod pa med pa la sogs pa'i rim	stages of non-contrition/regret/feeling sorry/remorse and so forth	
'gyod pa med par 'chi ba'i dus byed pa	undergoing the time of death without contrition/regret/feeling	
'gyod pa'i sgrib pa	defilement of contrition/regret/feeling sorry/remorse	
'gyod par byed	cause to be contrite/to feel regret/to feel sorry/to be remorseful	
'gyogs pa	rapidity	
'gyur	to change; to become; to happen | change; mutate; become; be; come to be; transform; grow; translate	
'gyur ba	change; mutate; become; be; come to be; transform; grow; translate	
'gyur ba 'os pa ma yin	not suitable to change	
'gyur ba ma mchis pa	immutable; unchanging	
'gyur ba med pa	immutable; unchanging	
'gyur ba med par mnyam pa	equal in being immutable/unchangeable	
'gyur ba'i bye brag	type/instance of transformation	
'gyur ba'i chos can	having the attribute/qualilty of change	
'gyur ba'i sdug bsngal	suffering of change/vicissitude	
'gyur khyad	different translation; difference in translation	
'gyur pa'i sdug bsngal	[change-of-suffering]; suffering of change; suffering of vicissitude	
'gyur tshul	how it comes to be	
'i	genetive particle: of; 's; which is; that is | (as genitive particle) of; by; in; which. (as non-case particle) and; but	
'is	instrumental particle: by; through; due to; by means of; of's | by; by means of; with; because	
'ja'	rainbow	
'ja' tshon	rainbow	
'jal	to measure out | to comprehend; measure	
'jal ba	comprehend	
'jal bar 'gyur	comprehend	
'jal byed	comprehender	
'jal pa	measure; comprehend	
'jam	to be soft	
'jam dbyangs	Mañjughoṣa [p.n. of the Buddha of wisdom]; Manjughosha	
'jam dbyangs bzhad pa	Jam-yang-shay-ba (1648-1721), principal textbook writer for Gomang	
'jam dbyangs mchog lha 'od zer	Jam-yang-chok-hla-o-ser (circa 15th c.), textbook author of Dak-tsangra-	
'jam dpal	Mañjuśrī [p.n. of the Buddha of wisdom]	
'jam dpal gzhon nur gyur pa	'Jam-dpal Gzhon-nur-gyur-pa, lit. Manjushri who became a youth (Skt. Kumārabhūtamanjushri)	
'jam mgon	"mañjunātha; epithet of Dzong-ka-ba; """"smooth protector"""" (Mañjushrī)"	
'jam pa	mild | softness; soft; smoothness	
'jam pa'i dbyangs	Mañjughoṣa; Mañjuśrī [p.n. of the Buddha of wisdom]	
'jam po	smooth	
'jang	'Jang, name of an ancient people	
'jig	to perish, to collapse; to waste; to destroy | to disintegrate; disintegrate; destroy	
'jig bskal	aeon of destruction	
'jig lta	view of the transitory collection [as a real I and mine]; the view of the	
'jig med	non-disintegrating	
'jig med gnas	Abhayagirika; Abhayagirivāsin	
'jig pa	decay | disintegrating; disintegration	
'jig pa dus mnyam	disintegrating at the same time	
'jig pa med pa	non-disintegrating	
'jig pa'i bskal pa	aeon of destruction	
'jig pa'i chos can	disintegrating subject	
'jig par 'gyur ba	disintegrating; will disintegrate; disintegration	
'jig par 'gyur te	disintegrating; will disintegrate	
'jig par bgyid pa	destroy; disintegrate	
'jig par byed	disintegrate	
'jig rten	world | [disintegrating-support]; the transient world; world; people	
'jig rten 'das	supramundane	
'jig rten 'das pa	supramundane	
'jig rten bde	happiness of the world; worldly happiness	
'jig rten chos brgyad	eight worldly concerns	
'jig rten dbang phyug	Lokeshvara (an alternate name for Kalkī Puṇḍarīka)	
'jig rten gnas pa	abiding in the world	
'jig rten gsum gyi bde ba	happiness of the three worlds	
'jig rten gyi bde ba	happiness of the world; worldly happiness	
'jig rten gyi bya ba	worldly activity	
'jig rten gyi don byed pa	one who acts for the sake of the world	
'jig rten gyi khams	world-system; world system	
'jig rten gyi tha snad	worldly convention	
'jig rten gyi tha snyad	worldly convention	
'jig rten gyi tha snyad dang brda' tsam gyi phyir	because of the conventions and expression of the world	
'jig rten gyi tha snyad la brten nas	depending upon worldly conventions	
'jig rten khams	world-system	
'jig rten kun rdzob	worldly concealer-truths; worldly conventional truths	
'jig rten la	in the world	
'jig rten la grags pa	well known to the world	
'jig rten la snying brtse ba	concern for the world; sympathy for the world	
'jig rten las 'das pa	supramundane	
'jig rten las 'das pa'i lam	supramundane path	
'jig rten las 'das pa'i sems tsam	Supramundane Mind-Only	
'jig rten las 'das pa'i ye shes	supramundane exalted wisdom	
'jig rten las 'das pa'i ye shes bla na med pa	highest supramundane exalted wisdom	
'jig rten las 'das pa'i ye shes shin tu rnam par dag pa'i lam	thoroughly pure path of supramundane exalted wisdom	
'jig rten mgon po	protector of the world	
'jig rten min pa	non-worldly	
'jig rten pa	folk, inhabitants of the world | worldly; mundane	
'jig rten pa dang 'jig rten las 'das pa	mundane and supramundane	
'jig rten pa dang nyan thos dang rang sangs rgyas rnams	worldlings, Hearers, and Solitary Realizers	
'jig rten pa'i bya ba	worldly activity	
'jig rten pa'i chos	worldly phenomena; worldly doctrines	
'jig rten pa'i chos kyi mchog	supreme mundane qualities	
'jig rten pa'i chos mchog	highest mundane qualities	
'jig rten pa'i khams	worldly realm	
'jig rten pa'i lam	mundane path	
'jig rten pa'i tha snyad	worldly conventions{N}	
'jig rten pa'i ting nge 'dzin gsum po	the three worldly meditative stabilizations	
'jig rten pa'i ye shes	worldly wisdom	
'jig rten pha rol	next world; dying; death	
'jig rten rang 'ga' ba	ordinary being	
'jig rten rgyang phan pa	Worldly Materialists (Lokāyatas){N}	
'jig rten sdug bsngal bdag nyid	the nature of the world is suffering; natural suffering of the world	
'jig rten shes ngo	worldly perspective	
'jig tshogs	the transitory collection [of aggregates] ; disintegrating collection	
'jig tshogs 'gog pa	cessation of the transitory collection	
'jig tshogs la lta ba	view of the transitory collection [as a real I and mine]; view of the	
'jig tshogs la lta ba nyon mongs pa can	having the afflicted view of the transitory collection [as a real I and	
'jig tshogs la lta ba'i bag chags	predispositions of the view of the transitory collection	
'jig tshogs la lta ba'i nyon mongs pa'i mtshan nyid	afflicted character of the view of the transitory collection [as a real I	
'jig tshogs lta ba	view of the transitory collection [as a real I and mine]	
'jigs	to fear | fear; frighten; fright	
'jigs byed	Bhairava (a wrathful deity) {T}	
'jigs med	fearless	
'jigs med pa	fearless; fearlessly	
'jigs pa	fright; frighten	
'jigs pa byed par byed do	frighten	
'jigs pa lnga	the five fears [of beginning Bodhisattvas]	
'jigs pa lnga las yang dag par 'das pa	completely transcend the five fears	
'jigs pa med pa	fearless; fearlessness	
'jigs par byed	frighten	
'jigs rten gyi khams	worldly realm	
'jigs spang	abandoning fear	
'jigs su rung ba	[frightened-as-fitting]; frightful	
'jim pa	clay; mud	
'jog	to leave; to lay down | posit; establish; deposit; designate; put; set aside	
'jog ba	placement	
'jog byed gzhan la ma ltos pa	certification that depends upon another | it does not rely upon another means of positing it	
'jog dka'	difficult to posit	
'jog pa	posit; establish; set; assign; deposit; designate; put; set aside	
'jog pa gzhi	basis of positing; bases that are being posited	
'jog pa rags pa	coarse; unrefined; stolid; large; massive; tangible; heap; quantity; put	
'jog par byed	certification; positing; establishment	
'jog par byed pa	certification; positing; establishment	
'jog sgom	[set-meditate]; stabilizing meditation	
'jog sgom gyi sgom byung gi rtogs pa	realizational consciousnesses which are states arisen from stabilizing	
'jog thub pa	can be posited	
'jog tshul	mode of positing; way of assigning	
'jog zhing	positing; establishing; designating	
'jol mo	a bird whose body is either white, red, black, or yellow, stays in trees,	
'joms	to conquer | to destroy; suppress; overcome	
'joms pa	to destroy; suppress; overcome; destruction; suppression	
'joms pa'i nus pa	the capacity to overcome	
'ju	to seize; to melt	
'jug	to enter; to put into; to lead to; to order | enter; engage; apply; usher (into); engages	
'jug bya	that which is to be entered into	
'jug byed	engager; means of engagement {T}	
'jug gzhi	basis of affixing; basis of reference; basis of engagement	
'jug ngogs	[entry-shore]; port; harbor; [river] bank | Great Exposition of the Middle Way, by Jam-yang-shay-ba ('jam	
'jug pa	continuity; enter; begin; engage; apply; entrance	
'jug pa bde ba dang go sla ba'i dbang du byas	made in terms of a felicitous and easy to understand usage	
'jug pa chad pa	continuity cut off; cut off continuity	
'jug pa'i bye brag	instance of engagement ? {T}	
'jug pa'i gnas	place of engagement ? {T}	
'jug pa'i gzhi	basis of affixing; basis of engagement	
'jug pa'i mtshan nyid	characteristic of engagement ? {T}	
'jug pa'i rim pa	stages of entry{N}	
'jug pa'i rnam par shes pa	engaging consciousness ? {T}	
'jug pa'i rten la	in dependence upon entering	
'jug par 'gyur	engage; enter; apply; operate; operates	
'jug par bya	engage; engagement; enter; entry	
'jug par byed	engage; enter; apply	
'jug rim	stages of operation	
'jug sa'i gzhi	basis which is the place of engagement	
'jug sems	[enter-mind]; practical mind of enlightenment; attitudes or aspirations	
'jug sgrub	achieving engagement; achieving through engagement	
'jug shes	operative consciousness	
'jug tshul	mode of relating	
'jug yul	object of engagement	
'jus	to seize	
'khal	to spin	
'khams	to faint away	
'khar ba	staff	
'khengs	to be full	
'khod	sit; set; settle	
'khod pa	sit; set; settle	
'khol	to appoint; to boil	
'khon	resentment; malice	
'khon 'dzin	resentment	
'khor	to turn round; to circle; to roam; retinue, attendants | sphere; retinue; companion; attendant; repaying	
'khor 'das	cyclic existence and nirvāṇa	
'khor 'gyur	circling	
'khor ba	cycle of existence/rebirth (Skt. samsara) | cyclic existence; cycle [of powerless birth, aging, sickness, and death]	
'khor ba bsten pa	partaking of/adhere to cyclic existence	
'khor ba dag tu yongs su bsngo	thoroughly dedicate to those in cyclic existence	
'khor ba dang mthun pa nyid	concordant with cyclic existence	
'khor ba dang mya ngan las 'das	cyclic existence and nirvāṇa; saṃsāra and nirvāṇa	
'khor ba dang mya ngan las 'das pa la mi gnas pa	not abiding in cyclic existence and nirvāṇa; not abiding in saṃsāra and	
'khor ba dang mya ngan las 'das pa la mi gnas pa nyid	not abiding in cyclic existence and nirvāṇa; not abiding in saṃsāra and	
'khor ba dang zhi ba ro gcig pa	the one/single/sole taste of cyclic existence and peace	
'khor ba gtong ba med nyid	non-forsaking of cyclic existence	
'khor ba ji srid	as long as cyclic existence lasts; as long as there is cyclic existence	
